cara,corrAns,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ready1.keys,ready1.rt,resp.keys,resp.corr,resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,right,0.566793230828,,,,,,,,,,2016_Nov_22_2300,60.1080399443,sidget,01,asdgasdg,
,,,,,,,,,,,,right,0.616819756106,,,,,,,,2016_Nov_22_2300,60.1080399443,sidget,01,asdgasdg,
caras/long_mouth.bmp,v,0,0,0,1,,,,,,,,,v,1,0.366839160852,,,,,2016_Nov_22_2300,60.1080399443,sidget,01,asdgasdg,
caras/short_mouth.bmp,m,0,1,1,0,,,,,,,,,v,0,0.0668846418848,,,,,2016_Nov_22_2300,60.1080399443,sidget,01,asdgasdg,
caras/long_mouth.bmp,v,1,0,2,1,,,,,,,,,v,1,0.166865204985,,,,,2016_Nov_22_2300,60.1080399443,sidget,01,asdgasdg,
caras/short_mouth.bmp,m,1,1,3,0,,,,,,,,,v,0,0.183570969908,,,,,2016_Nov_22_2300,60.1080399443,sidget,01,asdgasdg,
,,,,,,,,,,,,,,,,,v,0.45025412261,,,2016_Nov_22_2300,60.1080399443,sidget,01,asdgasdg,
,,,,,,,,,,,,,,,,,,,v,0.366796181654,2016_Nov_22_2300,60.1080399443,sidget,01,asdgasdg,
caras/long_mouth.bmp,v,,,,,0,0,0,1,,,,,v,1,0.600148631085,,,,,2016_Nov_22_2300,60.1080399443,sidget,01,asdgasdg,
caras/short_mouth.bmp,m,,,,,0,1,1,0,,,,,v,0,0.266856994014,,,,,2016_Nov_22_2300,60.1080399443,sidget,01,asdgasdg,
caras/long_mouth.bmp,v,,,,,1,0,2,1,,,,,v,1,0.250217622379,,,,,2016_Nov_22_2300,60.1080399443,sidget,01,asdgasdg,
caras/short_mouth.bmp,m,,,,,1,1,3,0,,,,,v,0,0.216842015448,,,,,2016_Nov_22_2300,60.1080399443,sidget,01,asdgasdg,
caras/short_mouth.bmp,m,,,,,2,0,4,0,,,,,v,0,0.233581778884,,,,,2016_Nov_22_2300,60.1080399443,sidget,01,asdgasdg,
caras/long_mouth.bmp,v,,,,,2,1,5,1,,,,,v,1,0.266921142116,,,,,2016_Nov_22_2300,60.1080399443,sidget,01,asdgasdg,
caras/long_mouth.bmp,v,,,,,3,0,6,1,,,,,v,1,0.266898369533,,,,,2016_Nov_22_2300,60.1080399443,sidget,01,asdgasdg,
caras/short_mouth.bmp,m,,,,,3,1,7,0,,,,,v,0,0.266885860707,,,,,2016_Nov_22_2300,60.1080399443,sidget,01,asdgasdg,
caras/long_mouth.bmp,v,,,,,4,0,8,1,,,,,v,1,0.300295145367,,,,,2016_Nov_22_2300,60.1080399443,sidget,01,asdgasdg,
caras/short_mouth.bmp,m,,,,,4,1,9,0,,,,,v,0,0.366855518601,,,,,2016_Nov_22_2300,60.1080399443,sidget,01,asdgasdg,
