text,congruent,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
green,cong,down,green,0,0,0,5,,,,,left,0,0.866783993522,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
blue,cong,right,blue,0,1,1,10,,,,,down,0,0.616863056028,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
green,incong,left,red,0,2,2,4,,,,,down,0,1.43354899919,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
green,cong,down,green,0,3,3,6,,,,,down,1,0.433441551169,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
blue,cong,right,blue,0,4,4,11,,,,,down,0,0.950193823432,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
red,cong,left,red,0,5,5,0,,,,,right,0,0.200302714831,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
red,incong,right,blue,0,6,6,3,,,,,left,0,0.350174771447,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
blue,incong,down,green,0,7,7,9,,,,,left,0,0.250174322427,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
blue,incong,left,red,0,8,8,8,,,,,right,0,0.883367235598,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
red,cong,left,red,0,9,9,1,,,,,right,0,0.983493735635,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
red,incong,down,green,0,10,10,2,,,,,right,0,1.10015183853,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
green,incong,right,blue,0,11,11,7,,,,,right,1,1.65015045932,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
red,incong,right,blue,,,,,0,0,0,3,left,0,1.70011700611,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
blue,cong,right,blue,,,,,0,1,1,11,right,1,1.85020941141,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
green,incong,left,red,,,,,0,2,2,4,down,0,1.06682883302,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
blue,incong,left,red,,,,,0,3,3,8,left,1,5.05007014592,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
red,cong,left,red,,,,,0,4,4,1,left,1,1.48347288748,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
red,incong,down,green,,,,,0,5,5,2,down,1,1.46682389363,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
green,cong,down,green,,,,,0,6,6,6,down,1,0.766909274738,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
blue,incong,down,green,,,,,0,7,7,9,down,1,0.550252326473,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
green,cong,down,green,,,,,0,8,8,5,down,1,0.550201649516,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
blue,cong,right,blue,,,,,0,9,9,10,right,1,0.50017191685,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
green,incong,right,blue,,,,,0,10,10,7,right,1,0.766793166695,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
red,cong,left,red,,,,,0,11,11,0,left,1,0.783601568546,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
red,cong,left,red,,,,,1,0,12,0,left,1,0.433529113274,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
red,cong,left,red,,,,,1,1,13,1,left,1,0.366828255676,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
green,incong,right,blue,,,,,1,2,14,7,down,0,0.666778605053,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
green,cong,down,green,,,,,1,3,15,6,down,1,0.616770362045,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
green,incong,left,red,,,,,1,4,16,4,left,1,0.600207005889,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
blue,cong,right,blue,,,,,1,5,17,10,right,1,1.06686315223,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
red,incong,right,blue,,,,,1,6,18,3,right,1,0.500151068758,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
blue,incong,left,red,,,,,1,7,19,8,left,1,1.30059343393,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
blue,incong,down,green,,,,,1,8,20,9,down,1,0.600162743707,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
green,cong,down,green,,,,,1,9,21,5,down,1,1.00019725534,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
blue,cong,right,blue,,,,,1,10,22,11,right,1,0.566842304135,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
red,incong,down,green,,,,,1,11,23,2,left,0,0.616823925695,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
red,incong,right,blue,,,,,2,0,24,3,right,1,1.76682973109,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
blue,incong,left,red,,,,,2,1,25,8,left,1,3.1667407577,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
red,cong,left,red,,,,,2,2,26,0,left,1,0.616841245705,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
green,incong,right,blue,,,,,2,3,27,7,right,1,1.00016967169,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
green,cong,down,green,,,,,2,4,28,5,down,1,0.63348927733,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
red,cong,left,red,,,,,2,5,29,1,left,1,1.88342561034,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
blue,cong,right,blue,,,,,2,6,30,10,right,1,0.633530011371,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
blue,cong,right,blue,,,,,2,7,31,11,right,1,0.483494697837,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
blue,incong,down,green,,,,,2,8,32,9,down,1,1.66679528359,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
green,cong,down,green,,,,,2,9,33,6,down,1,0.850133075204,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
red,incong,down,green,,,,,2,10,34,2,down,1,0.383515738416,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
green,incong,left,red,,,,,2,11,35,4,left,1,1.28351561012,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
blue,incong,down,green,,,,,3,0,36,9,down,1,0.76667962459,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
red,cong,left,red,,,,,3,1,37,0,left,1,0.650305697724,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
green,cong,down,green,,,,,3,2,38,5,down,1,0.733526611526,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
blue,incong,left,red,,,,,3,3,39,8,left,1,1.13356112319,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
green,cong,down,green,,,,,3,4,40,6,down,1,1.63348574919,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
red,incong,right,blue,,,,,3,5,41,3,right,1,0.566858341132,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
green,incong,left,red,,,,,3,6,42,4,left,1,0.683567762491,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
green,incong,right,blue,,,,,3,7,43,7,right,1,0.866817671253,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
blue,cong,right,blue,,,,,3,8,44,11,right,1,0.66682928204,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
red,incong,down,green,,,,,3,9,45,2,down,1,0.466840251378,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
blue,cong,right,blue,,,,,3,10,46,10,right,1,0.416788066912,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
red,cong,left,red,,,,,3,11,47,1,left,1,0.500201424991,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
green,cong,down,green,,,,,4,0,48,6,down,1,0.666786944319,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
red,incong,down,green,,,,,4,1,49,2,left,0,1.6668257539,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
red,cong,left,red,,,,,4,2,50,0,left,1,0.533488186804,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
blue,incong,left,red,,,,,4,3,51,8,left,1,0.93354867844,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
red,cong,left,red,,,,,4,4,52,1,left,1,0.750160209835,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
green,incong,left,red,,,,,4,5,53,4,left,1,0.683391355298,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
blue,cong,right,blue,,,,,4,6,54,10,right,1,1.15017515636,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
green,incong,right,blue,,,,,4,7,55,7,right,1,0.366874763073,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
red,incong,right,blue,,,,,4,8,56,3,right,1,0.350199468463,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
blue,cong,right,blue,,,,,4,9,57,11,right,1,0.317284124059,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
green,cong,down,green,,,,,4,10,58,5,down,1,0.616847019002,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
blue,incong,down,green,,,,,4,11,59,9,down,1,0.36728915968,2016_Nov_11_0207,60.0774624697,stroop,01,erick,
