cara,corrAns,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
caras/long_mouth.bmp,v,0,0,0,1,,,,,v,1,4.18346929521,2016_Nov_22_0152,59.99676711,stroop,01,erick,
caras/short_mouth.bmp,m,0,1,1,0,,,,,m,1,0.767050721246,2016_Nov_22_0152,59.99676711,stroop,01,erick,
caras/short_mouth.bmp,m,,,,,0,0,0,0,m,1,0.416866969055,2016_Nov_22_0152,59.99676711,stroop,01,erick,
caras/long_mouth.bmp,v,,,,,0,1,1,1,m,0,0.516924509895,2016_Nov_22_0152,59.99676711,stroop,01,erick,
caras/long_mouth.bmp,v,,,,,1,0,2,1,v,1,1.21685388286,2016_Nov_22_0152,59.99676711,stroop,01,erick,
caras/short_mouth.bmp,m,,,,,1,1,3,0,m,1,1.30015049141,2016_Nov_22_0152,59.99676711,stroop,01,erick,
caras/long_mouth.bmp,v,,,,,2,0,4,1,v,1,0.216874730977,2016_Nov_22_0152,59.99676711,stroop,01,erick,
caras/short_mouth.bmp,m,,,,,2,1,5,0,m,1,0.100172686623,2016_Nov_22_0152,59.99676711,stroop,01,erick,
caras/short_mouth.bmp,m,,,,,3,0,6,0,v,0,0.116820397525,2016_Nov_22_0152,59.99676711,stroop,01,erick,
caras/long_mouth.bmp,v,,,,,3,1,7,1,m,0,0.534025747766,2016_Nov_22_0152,59.99676711,stroop,01,erick,
caras/long_mouth.bmp,v,,,,,4,0,8,1,v,1,0.783527798252,2016_Nov_22_0152,59.99676711,stroop,01,erick,
caras/short_mouth.bmp,m,,,,,4,1,9,0,m,1,0.31687293484,2016_Nov_22_0152,59.99676711,stroop,01,erick,
