cara,corrAns,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ready1.keys,ready1.rt,resp.keys,resp.corr,resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,right,0.433498322207,,,,,,,,,,2016_Nov_22_2307,59.9971134673,sidget,01,fhsdfh,
,,,,,,,,,,,,right,0.300168132177,,,,,,,,2016_Nov_22_2307,59.9971134673,sidget,01,fhsdfh,
caras/long_mouth.bmp,v,0,0,0,1,,,,,,,,,v,1,1.50018250133,,,,,2016_Nov_22_2307,59.9971134673,sidget,01,fhsdfh,
caras/short_mouth.bmp,m,0,1,1,0,,,,,,,,,m,1,0.0501682925387,,,,,2016_Nov_22_2307,59.9971134673,sidget,01,fhsdfh,
caras/short_mouth.bmp,m,1,0,2,0,,,,,,,,,v,0,0.18356680026,,,,,2016_Nov_22_2307,59.9971134673,sidget,01,fhsdfh,
caras/long_mouth.bmp,v,1,1,3,1,,,,,,,,,v,1,0.233511857456,,,,,2016_Nov_22_2307,59.9971134673,sidget,01,fhsdfh,
,,,,,,,,,,,,,,,,,m,0.166859110934,,,2016_Nov_22_2307,59.9971134673,sidget,01,fhsdfh,
,,,,,,,,,,,,,,,,,,,v,0.150261756266,2016_Nov_22_2307,59.9971134673,sidget,01,fhsdfh,
caras/short_mouth.bmp,m,,,,,0,0,0,0,,,,,v,0,0.300242223137,,,,,2016_Nov_22_2307,59.9971134673,sidget,01,fhsdfh,
caras/long_mouth.bmp,v,,,,,0,1,1,1,,,,,m,0,0.116894488572,,,,,2016_Nov_22_2307,59.9971134673,sidget,01,fhsdfh,
caras/short_mouth.bmp,m,,,,,1,0,2,0,,,,,m,1,0.116836434579,,,,,2016_Nov_22_2307,59.9971134673,sidget,01,fhsdfh,
caras/long_mouth.bmp,v,,,,,1,1,3,1,,,,,m,0,0.333579982689,,,,,2016_Nov_22_2307,59.9971134673,sidget,01,fhsdfh,
caras/long_mouth.bmp,v,,,,,2,0,4,1,,,,,m,0,0.2168481095,,,,,2016_Nov_22_2307,59.9971134673,sidget,01,fhsdfh,
caras/short_mouth.bmp,m,,,,,2,1,5,0,,,,,m,1,0.383547812467,,,,,2016_Nov_22_2307,59.9971134673,sidget,01,fhsdfh,
caras/long_mouth.bmp,v,,,,,3,0,6,1,,,,,m,0,0.283503742714,,,,,2016_Nov_22_2307,59.9971134673,sidget,01,fhsdfh,
caras/short_mouth.bmp,m,,,,,3,1,7,0,,,,,m,1,0.316923291073,,,,,2016_Nov_22_2307,59.9971134673,sidget,01,fhsdfh,
caras/long_mouth.bmp,v,,,,,4,0,8,1,,,,,m,0,0.283594512264,,,,,2016_Nov_22_2307,59.9971134673,sidget,01,fhsdfh,
caras/short_mouth.bmp,m,,,,,4,1,9,0,,,,,m,1,0.500184425735,,,,,2016_Nov_22_2307,59.9971134673,sidget,01,fhsdfh,
