cara,corrAns,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ready1.keys,ready1.rt,resp.keys,resp.corr,resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,right,0.250257714943,,,,,,,,,,2016_Nov_22_2304,60.0064668253,sidget,01,rgyasg,
,,,,,,,,,,,,right,0.350165790762,,,,,,,,2016_Nov_22_2304,60.0064668253,sidget,01,rgyasg,
caras/short_mouth.bmp,m,0,0,0,0,,,,,,,,,v,0,0.216859335429,,,,,2016_Nov_22_2304,60.0064668253,sidget,01,rgyasg,
caras/long_mouth.bmp,v,0,1,1,1,,,,,,,,,m,0,0.233689868357,,,,,2016_Nov_22_2304,60.0064668253,sidget,01,rgyasg,
caras/long_mouth.bmp,v,1,0,2,1,,,,,,,,,v,1,0.233557081898,,,,,2016_Nov_22_2304,60.0064668253,sidget,01,rgyasg,
caras/short_mouth.bmp,m,1,1,3,0,,,,,,,,,v,0,0.25019966095,,,,,2016_Nov_22_2304,60.0064668253,sidget,01,rgyasg,
,,,,,,,,,,,,,,,,,v,0.216899427993,,,2016_Nov_22_2304,60.0064668253,sidget,01,rgyasg,
,,,,,,,,,,,,,,,,,,,m,0.116866904951,2016_Nov_22_2304,60.0064668253,sidget,01,rgyasg,
caras/long_mouth.bmp,v,,,,,0,0,0,1,,,,,v,1,0.400258388487,,,,,2016_Nov_22_2304,60.0064668253,sidget,01,rgyasg,
caras/short_mouth.bmp,m,,,,,0,1,1,0,,,,,v,0,0.150176760042,,,,,2016_Nov_22_2304,60.0064668253,sidget,01,rgyasg,
caras/short_mouth.bmp,m,,,,,1,0,2,0,,,,,v,0,0.100205081457,,,,,2016_Nov_22_2304,60.0064668253,sidget,01,rgyasg,
caras/long_mouth.bmp,v,,,,,1,1,3,1,,,,,m,0,0.0668727744487,,,,,2016_Nov_22_2304,60.0064668253,sidget,01,rgyasg,
caras/short_mouth.bmp,m,,,,,2,0,4,0,,,,,v,0,0.266824599239,,,,,2016_Nov_22_2304,60.0064668253,sidget,01,rgyasg,
caras/long_mouth.bmp,v,,,,,2,1,5,1,,,,,v,1,0.216873127327,,,,,2016_Nov_22_2304,60.0064668253,sidget,01,rgyasg,
caras/short_mouth.bmp,m,,,,,3,0,6,0,,,,,v,0,0.433384780074,,,,,2016_Nov_22_2304,60.0064668253,sidget,01,rgyasg,
caras/long_mouth.bmp,v,,,,,3,1,7,1,,,,,m,0,0.600155366701,,,,,2016_Nov_22_2304,60.0064668253,sidget,01,rgyasg,
caras/short_mouth.bmp,m,,,,,4,0,8,0,,,,,v,0,0.46682998765,,,,,2016_Nov_22_2304,60.0064668253,sidget,01,rgyasg,
caras/long_mouth.bmp,v,,,,,4,1,9,1,,,,,v,1,0.450158862746,,,,,2016_Nov_22_2304,60.0064668253,sidget,01,rgyasg,
