cara,corrAns,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ready1.keys,ready1.rt,resp.keys,resp.corr,resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,right,0.400139714475,,,,,,,,,,2016_Nov_22_2256,60.0734109665,sidget,01,tejdhfi,
,,,,,,,,,,,,right,0.450177786406,,,,,,,,2016_Nov_22_2256,60.0734109665,sidget,01,tejdhfi,
caras/short_mouth.bmp,m,0,0,0,0,,,,,,,,,v,0,1.85017028113,,,,,2016_Nov_22_2256,60.0734109665,sidget,01,tejdhfi,
caras/long_mouth.bmp,v,0,1,1,1,,,,,,,,,m,0,0.250438612537,,,,,2016_Nov_22_2256,60.0734109665,sidget,01,tejdhfi,
caras/short_mouth.bmp,m,1,0,2,0,,,,,,,,,m,1,0.116853433836,,,,,2016_Nov_22_2256,60.0734109665,sidget,01,tejdhfi,
caras/long_mouth.bmp,v,1,1,3,1,,,,,,,,,v,1,0.416907382314,,,,,2016_Nov_22_2256,60.0734109665,sidget,01,tejdhfi,
,,,,,,,,,,,,,,,,,m,0.450319553725,,,2016_Nov_22_2256,60.0734109665,sidget,01,tejdhfi,
,,,,,,,,,,,,,,,,,,,m,0.28349476197,2016_Nov_22_2256,60.0734109665,sidget,01,tejdhfi,
caras/short_mouth.bmp,m,,,,,0,0,0,0,,,,,v,0,0.383595602761,,,,,2016_Nov_22_2256,60.0734109665,sidget,01,tejdhfi,
caras/long_mouth.bmp,v,,,,,0,1,1,1,,,,,m,0,0.233580175205,,,,,2016_Nov_22_2256,60.0734109665,sidget,01,tejdhfi,
caras/long_mouth.bmp,v,,,,,1,0,2,1,,,,,v,1,0.233532705577,,,,,2016_Nov_22_2256,60.0734109665,sidget,01,tejdhfi,
caras/short_mouth.bmp,m,,,,,1,1,3,0,,,,,v,0,0.516775044845,,,,,2016_Nov_22_2256,60.0734109665,sidget,01,tejdhfi,
caras/short_mouth.bmp,m,,,,,2,0,4,0,,,,,v,0,0.250178492046,,,,,2016_Nov_22_2256,60.0734109665,sidget,01,tejdhfi,
caras/long_mouth.bmp,v,,,,,2,1,5,1,,,,,v,1,0.283506629348,,,,,2016_Nov_22_2256,60.0734109665,sidget,01,tejdhfi,
caras/long_mouth.bmp,v,,,,,3,0,6,1,,,,,v,1,0.36682344455,,,,,2016_Nov_22_2256,60.0734109665,sidget,01,tejdhfi,
caras/short_mouth.bmp,m,,,,,3,1,7,0,,,,,v,0,0.300170377304,,,,,2016_Nov_22_2256,60.0734109665,sidget,01,tejdhfi,
caras/long_mouth.bmp,v,,,,,4,0,8,1,,,,,m,0,0.23355547816,,,,,2016_Nov_22_2256,60.0734109665,sidget,01,tejdhfi,
caras/short_mouth.bmp,m,,,,,4,1,9,0,,,,,v,0,0.216867033218,,,,,2016_Nov_22_2256,60.0734109665,sidget,01,tejdhfi,
