cara,corrAns,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
caras/short_mouth.bmp,m,0,0,0,0,,,,,v,0,3.95006552729,2016_Nov_22_0154,60.0227555336,stroop,01,tukara,
caras/long_mouth.bmp,v,0,1,1,1,,,,,m,0,0.816834445985,2016_Nov_22_0154,60.0227555336,stroop,01,tukara,
caras/short_mouth.bmp,m,1,0,2,0,,,,,v,0,0.300099493674,2016_Nov_22_0154,60.0227555336,stroop,01,tukara,
caras/long_mouth.bmp,v,1,1,3,1,,,,,v,1,0.383052268502,2016_Nov_22_0154,60.0227555336,stroop,01,tukara,
caras/long_mouth.bmp,v,,,,,0,0,0,1,v,1,2.50009365621,2016_Nov_22_0154,60.0227555336,stroop,01,tukara,
caras/short_mouth.bmp,m,,,,,0,1,1,0,m,1,0.350181827758,2016_Nov_22_0154,60.0227555336,stroop,01,tukara,
caras/short_mouth.bmp,m,,,,,1,0,2,0,m,1,0.083451205428,2016_Nov_22_0154,60.0227555336,stroop,01,tukara,
caras/long_mouth.bmp,v,,,,,1,1,3,1,v,1,0.116833868669,2016_Nov_22_0154,60.0227555336,stroop,01,tukara,
caras/long_mouth.bmp,v,,,,,2,0,4,1,m,0,0.100216628081,2016_Nov_22_0154,60.0227555336,stroop,01,tukara,
caras/short_mouth.bmp,m,,,,,2,1,5,0,v,0,0.0835445408884,2016_Nov_22_0154,60.0227555336,stroop,01,tukara,
caras/short_mouth.bmp,m,,,,,3,0,6,0,m,1,0.183594383969,2016_Nov_22_0154,60.0227555336,stroop,01,tukara,
caras/long_mouth.bmp,v,,,,,3,1,7,1,v,1,0.216913219832,2016_Nov_22_0154,60.0227555336,stroop,01,tukara,
caras/short_mouth.bmp,m,,,,,4,0,8,0,m,1,0.250227565324,2016_Nov_22_0154,60.0227555336,stroop,01,tukara,
caras/long_mouth.bmp,v,,,,,4,1,9,1,m,0,0.250303901557,2016_Nov_22_0154,60.0227555336,stroop,01,tukara,
